date,price,ticker,vol,momentum,z,regime,position,ema_fast,ema_medium,ema_slow,atr
2024-08-06,113.390625,TY1 COMB Comdty,0.061789607273836804,0.03938699513033517,0.6374372142516038,mod_long,1,111.82112336497818,110.68058280205113,110.4398434235992,0.4516741386189371
2024-08-07,112.890625,TY1 COMB Comdty,0.0620548794413253,0.038522351588328396,0.6207787676834085,mod_long,1,111.9229806635517,110.75304320198389,110.480352209986,0.45811758680307885
2024-08-08,112.65625,TY1 COMB Comdty,0.0622928789756708,0.035175879396984966,0.5646854018534496,mod_long,1,111.99281583845155,110.81544342486966,110.5163174627135,0.4282852418960017
2024-08-09,112.953125,TY1 COMB Comdty,0.062318905629873404,0.03537668289888285,0.5676717609419085,mod_long,1,112.08427385383712,110.88553134536572,110.55659527324717,0.4107638763098681
2024-08-12,113.234375,TY1 COMB Comdty,0.06152592247937295,0.032042153232697324,0.5207911062762157,mod_long,1,112.19380729632883,110.96254261273077,110.60085609517698,0.39349535946855235
2024-08-13,113.625,TY1 COMB Comdty,0.06155579594397853,0.037819323533609284,0.6143909432676067,mod_long,1,112.33011136334513,111.04983629755927,110.65084194484348,0.3931126448727454
2024-08-14,113.765625,TY1 COMB Comdty,0.06117201921381568,0.041929021179164305,0.6854281045163644,mod_long,1,112.46682694778845,111.1388785500983,110.70232596228409,0.3594476255563793
2024-08-15,112.953125,TY1 COMB Comdty,0.06317485147765345,0.03537668289888285,0.559980468041092,mod_long,1,112.51314104799908,111.198362040259,110.7395292521637,0.4198546088155288
2024-08-16,113.109375,TY1 COMB Comdty,0.0631796197036383,0.0354741810899728,0.5614813963169513,mod_long,1,112.56992523390393,111.26101820287346,110.77870025626018,0.38470732764012494
2024-08-19,113.21875,TY1 COMB Comdty,0.0629769810067195,0.03840642017770124,0.6098485440831685,mod_long,1,112.63171806877023,111.32520613064808,110.81903165698316,0.34799635062144163
2024-08-20,113.5625,TY1 COMB Comdty,0.06273624591403232,0.04455303248059783,0.7101641456463461,mod_long,1,112.72036396698259,111.39856002800389,110.86437824116526,0.34743017053858277
2024-08-21,113.890625,TY1 COMB Comdty,0.06286272888108274,0.04772171913180978,0.7591417041739443,mod_long,1,112.83181739869853,111.48026707626605,110.91439884874931,0.3448561478001051
2024-08-22,113.296875,TY1 COMB Comdty,0.06338687536942424,0.0461693839272832,0.7283745043150338,mod_long,1,112.87610859882248,111.5398279917983,110.95377861984437,0.3780419947600911
2024-08-23,113.703125,TY1 COMB Comdty,0.06252794854986862,0.05509641873278226,0.8811486704835773,mod_long,1,112.9548720656013,111.61075576255902,110.99922236166513,0.38180306212541226
2024-08-26,113.59375,TY1 COMB Comdty,0.06222378721899885,0.049516385159520615,0.7957790319841176,mod_long,1,113.01571758316308,111.67577196706529,111.04210711601779,0.3454793205086906
2024-08-27,113.515625,TY1 COMB Comdty,0.062219129357835225,0.0463776465504826,0.7453920848643679,mod_long,1,113.06332781333802,111.73609501732544,111.08299170914147,0.3098320777741986
2024-08-28,113.53125,TY1 COMB Comdty,0.060829925905421196,0.039187643020595075,0.6442165174017194,mod_long,1,113.10789183111535,111.794952557741,111.12345878832922,0.27060446740430544
2024-08-29,113.3125,TY1 COMB Comdty,0.06061075001290423,0.032901296111665035,0.5428293843032834,mod_long,1,113.12737832339009,111.84470821158556,111.15964128769569,0.2636905384170647
2024-08-30,113.046875,TY1 COMB Comdty,0.06074760952630627,0.027844864327319252,0.45836971272525967,mod_long,1,113.11971134021009,111.88412351612374,111.19083523335362,0.2639484666281227
2024-09-03,113.484375,TY1 COMB Comdty,0.06114593788131524,0.03109028960817728,0.5084604257526278,mod_long,1,113.15444121257103,111.93659077789017,111.22874498156266,0.28708867107770636
2024-09-04,114.03125,TY1 COMB Comdty,0.058293674253120834,0.045708554234130894,0.7841083071150524,mod_long,1,113.23794681137379,112.00526812943475,111.27506737856163,0.32172684826734554
2024-09-05,114.234375,TY1 COMB Comdty,0.058044579838274254,0.04967695620961954,0.8558414299497237,mod_long,1,113.33284473410009,112.07835360060082,111.3239815541226,0.30591326849836614
2024-09-06,114.515625,TY1 COMB Comdty,0.05772917221042339,0.04789819845581933,0.8297052706945102,mod_long,1,113.44549047370961,112.15826413828604,111.37673599124454,0.302624832698584
2024-09-09,114.515625,TY1 COMB Comdty,0.05634040027539436,0.040755467196819106,0.7233790849480051,mod_long,1,113.54740804764204,112.23555465834224,111.42861845419918,0.26227485500543946
2024-09-10,114.921875,TY1 COMB Comdty,0.05633983828091331,0.04075279467949633,0.723338865054969,mod_long,1,113.67830966215233,112.3236307351179,111.48635823181573,0.28147154100471417
2024-09-11,114.78125,TY1 COMB Comdty,0.05647187808138575,0.03903818953323901,0.6912854833157527,mod_long,1,113.78335159909021,112.40420841593371,111.54081925277745,0.2626920022040856
2024-09-12,114.6875,TY1 COMB Comdty,0.05583745738160108,0.042021578648495206,0.7525697017561849,mod_long,1,113.86946097060543,112.47907043508343,111.59283050479766,0.24016640191020755
2024-09-13,114.921875,TY1 COMB Comdty,0.055527123515730116,0.040164050346485736,0.7233230861510012,mod_long,1,113.96969087816683,112.55916238803151,111.64785603364399,0.23939421498884655
2024-09-16,115.078125,TY1 COMB Comdty,0.05554504502953032,0.040989399293286155,0.7379487994202596,mod_long,1,114.07525603262714,112.64175132612883,111.70455469424493,0.22830831965700035
2024-09-17,114.921875,TY1 COMB Comdty,0.05565686206879731,0.040016968325791824,0.7189943313068378,mod_long,1,114.15588641047218,112.7165094793705,111.75773354227395,0.21870054370273365
2024-09-18,114.640625,TY1 COMB Comdty,0.0560160042444399,0.03717839977381954,0.6637103141377642,mod_long,1,114.20205199042721,112.77959523414523,111.80538464074877,0.22704047120903584
2024-09-19,114.328125,TY1 COMB Comdty,0.0564329355454558,0.03376660073467086,0.5983491804616901,mod_long,1,114.21405894371986,112.83036670187818,111.847082828505,0.23843507504783107
2024-09-20,114.84375,TY1 COMB Comdty,0.05587737722269376,0.04344122657580929,0.7774385401569329,mod_long,1,114.27402952050845,112.89637926902971,111.89661451729005,0.27539373170812026
2024-09-23,114.765625,TY1 COMB Comdty,0.055910813746215024,0.04095804988662133,0.7325604322722642,mod_long,1,114.32084813760288,112.95766601430742,111.9440361781613,0.24909123414703754
2024-09-24,114.84375,TY1 COMB Comdty,0.05554006880875941,0.04418241227447073,0.795505177111026,mod_long,1,114.37064831497403,113.01950483351045,111.99196533224129,0.22629573626076588
2024-09-25,114.546875,TY1 COMB Comdty,0.05337308692823534,0.049234292257048784,0.9224554001017119,mod_long,1,114.38743180878603,113.06958254388717,112.03419524410508,0.23570630475933044
2024-09-26,114.40625,TY1 COMB Comdty,0.0533819781754136,0.04510419640308316,0.8449330269266234,mod_long,1,114.38922401747307,113.11340770638266,112.07340276073144,0.22302879745808638
2024-09-27,114.734375,TY1 COMB Comdty,0.05273048872131452,0.04259548487860276,0.8077961329682305,mod_long,1,114.42209553961848,113.16655417502585,112.11738577295075,0.23704162446367488
2024-09-30,114.28125,TY1 COMB Comdty,0.05276300031240988,0.033196779206102534,0.6291677692614959,mod_long,1,114.40868167870244,113.20310157912336,112.15315212381107,0.26585274120185154
2024-10-01,114.6875,TY1 COMB Comdty,0.053098865329618335,0.03701610624470186,0.6971167088961208,mod_long,1,114.4352358045403,113.25177037980784,112.19504217135139,0.2845723757082713
2024-10-02,114.421875,TY1 COMB Comdty,0.053229115456093046,0.03637135578828188,0.6832981438191176,mod_long,1,114.43396334696503,113.29013446571577,112.23184932554393,0.2820460589471685
2024-10-03,113.90625,TY1 COMB Comdty,0.05424438747996521,0.03082579185520351,0.5682761532995244,mod_long,1,114.38370493296836,113.31033497503655,112.25952536974984,0.3131899177542127
2024-10-04,112.84375,TY1 COMB Comdty,0.056688613394499876,0.015181332583637852,0.267802150636318,mod_long,1,114.23704255839995,113.29503710700256,112.26918197520853,0.41309792872031764
2024-10-07,112.484375,TY1 COMB Comdty,0.05712571683261929,0.011663856098931946,0.20417872624876685,neutral,0,114.07012183855234,113.26845802152705,112.27273888470921,0.40593487155760866
